TrackSOM_metacluster_lineage_tracking,PopName,count,FileNo
A,II,4999,1
B,I,2000,1
C,II,1,1
B,I,1832,2
"(A,C)",II,5000,2
D,I,168,2
"(A,C)",II,1844,3
B|1,I,573,3
B,I,993,3
B|2,I,180,3
"(A,C)|2",III,774,3
"(A,C)|3",IV,707,3
"(A,C)|1",V,796,3
D,I,233,3
"(A,C)|4",IV,33,3
E,XI,100,3
D|1,I,21,3
"(B|1|1,B)",VI,533,4
"((A,C)|3|1,(A,C),(A,C)|2|1,(A,C)|1)",II,1968,4
"(A,C)|2",III,904,4
"(B|2,B|1)",VI,460,4
"((A,C)|4,(A,C)|3)",IV,925,4
E,XI,100,4
"(D,D|1)",VII,930,4
"(A,C)|1|1",V,786,4
B|3,VII,70,4
"((A,C)|3|1,(A,C),(A,C)|2|1,(A,C)|1)",II,1827,5
"((A,C)|4,(A,C)|3)",IV,363,5
"(((A,C)|3|1,(A,C),(A,C)|2|1,(A,C)|1)|1,(A,C)|1|1)",V,278,5
"(B|3,(D,D|1)|1)",VII,103,5
"(A,C)|1|1|1",V,197,5
"(D,D|1)",VII,897,5
"(B|2,B|1)|1",VI,184,5
"((B|2,B|1),(B|1|1,B)|1)",VI,774,5
"(A,C)|2|2",VIII,210,5
"(B|1|1,B)",VI,42,5
"(A,C)|2|3",VIII,278,5
"((A,C)|4,(A,C)|3)|3",X,182,5
"(A,C)|1|1|2",IX,331,5
"(A,C)|2",III,366,5
"((A,C)|3|1,(A,C),(A,C)|2|1,(A,C)|1)|2",II,62,5
"((A,C)|4,(A,C)|3)|2",X,296,5
"((A,C)|4,(A,C)|3)|1",X,2,5
